zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
4677,"""JOSE LUIS COMPAÑON """"COMPA""""""","""JOSE LUIS COMPAÑON """"COMPA""""""",,"""JOSE LUIS COMPAÑON """"COMPA"""" KALEA""","""JOSE LUIS COMPAÑON """"COMPA"""" KALEA""",CALLE
2005,"JOSE LUIS GONZALO-BILBAO, SENDA",José Luis Hermenegildo Gonzalo,Q109914709,JOSE LUIS GONZALO-BILBAO ZIDORRA,JOSE LUIS GONZALO-BILBAO ZIDORRA,SENDA
4907,JOSE LUIS ISASI,JOSE LUIS ISASI,,JOSE LUIS ISASI KALEA,JOSE LUIS ISASI KALEA,CALLE
2010,JOSE MARDONES,José Mardones,Q12260849,JOSE MARDONES KALEA,JOSE MARDONES KALEA,CALLE
4539,JOSE MARIA CAGIGAL,José María Cagigal,Q5685707,JOSE MARIA CAGIGAL KALEA,JOSE MARIA CAGIGAL KALEA,CALLE
1975,JOSE MARIA DIAZ DE MENDIVIL,José María Díaz de Mendívil y Velasco,Q92069207,JOSE MARIA DIAZ DE MENDIBIL KALEA,JOSE MARIA DIAZ DE MENDIBIL KALEA,CALLE
4970,"JOSE MARIA EGUILUZ RUIZ DE OLANO, PARQUE",JOSE MARIA EGUILUZ RUIZ DE OLANO,,JOSE MARIA EGUILUZ RUIZ DE OLANO PARKEA,JOSE MARIA EGUILUZ RUIZ DE OLANO PARKEA,PARQUE
1940,JOSE MARIA IPARRAGIRRE,José María Iparraguirre,Q3186448,JOSE MARIA IPARRAGIRRE KALEA,JOSE MARIA IPARRAGIRRE KALEA,CALLE
2012,JOSE MIGUEL BARANDIARAN,José Miguel de Barandiarán,Q556696,JOSE MIGUEL BARANDIARAN KALEA,JOSE MIGUEL BARANDIARAN KALEA,CALLE
2015,"JOSE PABLO ULIBARRI, SENDA",Jose Paulo Ulibarri,Q12260725,JOSE PABLO ULIBARRI ZIDORRA,JOSE PABLO ULIBARRI ZIDORRA,SENDA
2017,JOSE SAN MARTIN,José San Martín Bretón,Q109328268,JOSE SAN MARTIN KALEA,JOSE SAN MARTIN KALEA,CALLE
2020,JOSE URUÑUELA,José Uruñuela,Q139657,JOSE URUÑUELA KALEA,JOSE URUÑUELA KALEA,CALLE
2023,JUAN BAUTISTA GAMIZ,Joan Batista Gamiz,Q12260413,JUAN BAUTISTA GAMIZ KALEA,JUAN BAUTISTA GAMIZ KALEA,CALLE
4666,JUAN CRISOSTOMO DE ARRIAGA,Juan Crisóstomo de Arriaga,Q313669,JUAN CRISOSTOMO ARRIAGA KALEA,JUAN CRISOSTOMO ARRIAGA KALEA,CALLE
3970,JUAN DE GARAY,Juan de Garay,Q441411,JUAN GARAI KALEA,JUAN GARAI KALEA,CALLE
4525,JUAN DE LA CIERVA,Juan de la Cierva,Q354646,JUAN DE LA CIERVA KALEA,JUAN DE LA CIERVA KALEA,CALLE
2035,JUAN DE VELASCO,Juan Velasco Fernández de la Cuesta,Q109796691,JUAN BELASKO KALEA,JUAN BELASKO KALEA,CALLE
4803,JUAN GRIS,Juan Gris,Q151152,JUAN GRIS KALEA,JUAN GRIS KALEA,CALLE
4578,JUAN IBAÑEZ DE SANTO DOMINGO,JUAN IBAÑEZ DE SANTO DOMINGO,,JUAN IBAÑEZ DE SANTO DOMINGO KALEA,JUAN IBAÑEZ DE SANTO DOMINGO KALEA,CALLE
2050,JUAN II,Juan II,Q168736,JOAN II.AREN KALEA,JOAN II.AREN KALEA,CALLE
2040,JUAN JOSE DIAZ DE ESPADA,Juan José Díaz de Espada,Q9015656,JUAN JOSE DIAZ DE ESPADA KALEA,JUAN JOSE DIAZ DE ESPADA KALEA,CALLE
4933,JUAN PABLO BENGOETXEA,JUAN PABLO BENGOETXEA,,JUAN PABLO BENGOETXEA KALEA,JUAN PABLO BENGOETXEA KALEA,CALLE
4719,"JUAN PABLO II , PASEO DE",Juan Pablo II,Q989,JOAN PAULO II.AREN IBILBIDEA,JOAN PAULO II.AREN IBILBIDEA,PASEO
2060,JUAN XXIII,Juan XXIII,Q23873,JUAN XXIII.AREN KALEA,JUAN XXIII.AREN KALEA,CALLE
2065,JUANA JUGAN,Juana Jugan,Q261010,JEANNE JUGAN KALEA,JEANNE JUGAN KALEA,CALLE
4756,JUANITO OIARZABAL,Juanito Oiarzabal,Q719876,JUANITO OIARZABAL KALEA,JUANITO OIARZABAL KALEA,CALLE
4788,JUBILEO,Jubileo,Q838794,JUBILEU KALEA,JUBILEU KALEA,CALLE
2070,"JUDIMENDI, AVENIDA DE",Judimendi,Q576020,JUDIMENDI HIRIBIDEA,JUDIMENDI HIRIBIDEA,AVENIDA
2071,"JUDIMENDI, PARQUE",Judimendi,Q576020,JUDIMENDIKO PARKEA,JUDIMENDIKO PARKEA,PARQUE
2080,JULIAN DE APRAIZ,Julián Apraiz Arias,Q12261130,JULIAN APRAIZ KALEA,JULIAN APRAIZ KALEA,CALLE
2085,JULIAN DE ARRESE,JULIAN DE ARRESE,,JULIAN ARRESE KALEA,JULIAN ARRESE KALEA,CALLE
4573,JULIO CARO BAROJA,Julio Caro Baroja,Q649627,JULIO CARO BAROJA KALEA,JULIO CARO BAROJA KALEA,CALLE
4987,"JUNCAL BALLESTÍN, PLAZA/JUNCAL BALLESTÍN PLAZA",Juncal Ballestín,Q25963141,JUNCAL BALLESTÍN PLAZA,JUNCAL BALLESTÍN PLAZA,PLAZA
2088,JUNDIZ,sierra de Jundiz,Q62663382,JUNDIZ KALEA,JUNDIZ KALEA,CALLE
6450,JUNGITU,Junguitu,Q616212,JUNGITU,JUNGITU,ENTIDAD
2095,JUNTAS GENERALES,Juntas Generales,Q2919175,BILTZAR NAGUSIEN KALEA,BILTZAR NAGUSIEN KALEA,CALLE
4579,JUSTO VELEZ DE ELORRIAGA,Justo Vélez de Elorriaga,Q123813126,JUSTO VELEZ DE ELORRIAGA KALEA,JUSTO VELEZ DE ELORRIAGA KALEA,CALLE
770,KAPELAMENDI,KAPELAMENDI,,KAPELAMENDI KALEA,KAPELAMENDI KALEA,CALLE
2098,KAPILDUI,Kapildui,Q12261272,KAPILDUI KALEA,KAPILDUI KALEA,CALLE
2105,KOLDO MITXELENA,Koldo Mitxelena,Q2457804,KOLDO MITXELENA KALEA,KOLDO MITXELENA KALEA,CALLE
4812,KRIPAN,Cripán,Q1369053,KRIPAN KALEA,KRIPAN KALEA,CALLE
6250,KRISPIÑA/CRISPIJANA,Krispinako Errekatxarkoa,Q95620254,KRISPIÑA,KRISPIÑA,ENTIDAD
4882,KURUTZEKOLARRA,KURUTZEKOLARRA,,KURUTZEKOLARRA KALEA,KURUTZEKOLARRA KALEA,CALLE
2107,KUTAISI,KUTAISI,,KUTAISI KALEA,KUTAISI KALEA,CALLE
2100,KUTXA,arcón,Q366134,KUTXA KALEA,KUTXA KALEA,CALLE
70,LA ALBERCA VIEJA,LA ALBERCA VIEJA,,UHASKA ZAHARREKO KALEA,UHASKA ZAHARREKO KALEA,CALLE
4509,LA ALMENA,almena,Q23419,ALMENA KALEA,ALMENA KALEA,CALLE
2135,"LA ANTONIA, PASEO DE",La Antonia,Q20599757,ANTONIARENEKO IBILBIDEA,ANTONIARENEKO IBILBIDEA,PASEO
4844,"LA ANTONIA, PLAZA DE",La Antonia,Q20599757,ANTONIARENEKO PLAZA,ANTONIARENEKO PLAZA,PLAZA
2137,LA BARANDA,LA BARANDA,,BARANDA KALEA,BARANDA KALEA,CALLE
4766,"LA BIOSFERA, PASEO DE",biosfera,Q42762,BIOSFERAREN IBILBIDEA,BIOSFERAREN IBILBIDEA,PASEO
675,"LA BURULLERIA, PLAZA DE",LA BURULLERIA,,BURUILERIA PLAZA,BURUILERIA PLAZA,PLAZA
970,"LA CIUDADELA, PLAZA DE",ciudadela,Q88291,ZIUDADELA PLAZA,ZIUDADELA PLAZA,PLAZA
4796,"LA CONSTITUCION EUROPEA, AVENIDA DE",Tratado por el que se establece una Constitución para Europa,Q189066,EUROPAKO KONSTITUZIOAREN KALEA,EUROPAKO KONSTITUZIOAREN KALEA,AVENIDA
1880,"LA CONSTITUCION, PLAZA DE",constitución,Q7755,KONSTITUZIO PLAZA,KONSTITUZIO PLAZA,PLAZA
1070,"LA COOPERATIVA, PLAZA DE",cooperativa,Q4539,KOOPERATIBA PLAZA,KOOPERATIBA PLAZA,PLAZA
4749,"LA CRUZ ROJA , PASEO DE",LA CRUZ ROJA,,GURUTZE GORRIAREN IBILBIDEA,GURUTZE GORRIAREN IBILBIDEA,PASEO
4942,LA DEHESA,La Dehesa,Q95620680,DEHESA KALEA,DEHESA KALEA,CALLE
4767,LA ENEIDA,Eneida,Q60220,LA ENEIDA KALEA,LA ENEIDA KALEA,CALLE
1490,LA ESPERANZA,esperanza,Q190507,ESPERANTZA KALEA,ESPERANTZA KALEA,CALLE
1510,"LA ESTACION, PLAZUELA DE",estación,Q12819564,GELTOKI PLAZATXOA,GELTOKI PLAZATXOA,PLAZUELA
810,LA FLORIDA,LA FLORIDA,,FLORIDA KALEA,FLORIDA KALEA,CALLE
811,"LA FLORIDA, PARQUE",LA FLORIDA,,FLORIDA PARKEA,FLORIDA PARKEA,PARQUE
1600,"LA FLORIDA, PASEO DE",LA FLORIDA,,FLORIDAKO IBILBIDEA,FLORIDAKO IBILBIDEA,PASEO
4946,"LA FUENTE, PASEO DE",fuente,Q483453,ITURBIDEA,ITURBIDEA,PASEO
2140,LA HABANA,La Habana,Q1563,HABANA KALEA,HABANA KALEA,CALLE
