zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
1340,DOMINGO MARTINEZ DE ARAGON,calle de Domingo Martínez de Aragón,Q118603556,DOMINGO MARTINEZ DE ARAGON KALEA,DOMINGO MARTINEZ DE ARAGON KALEA,CALLE
4924,DONEASPIDEA,DONEASPIDEA,,DONEASPIDEA KALEA,DONEASPIDEA KALEA,CALLE
4553,DONOSTIA-SAN SEBASTIAN,San Sebastián,Q10313,DONOSTIA KALEA,DONOSTIA KALEA,CALLE
4823,DORIS LESSING,Doris Lessing,Q40874,DORIS LESSING KALEA,DORIS LESSING KALEA,CALLE
4687,DUBLIN,Dublín,Q1761,DUBLIN KALEA,DUBLIN KALEA,CALLE
1351,"DUENDE, PASO DE",duende,Q3396544,DUENDE PASABIDEA,DUENDE PASABIDEA,PASAJE
1350,DULZAINA,Dulzaina,Q1264870,DULTZAINA KALEA,DULTZAINA KALEA,CALLE
1345,DUQUE DE WELLINGTON,Duque de Wellington,Q131691,WELLINGTONGO DUKEAREN KALEA,WELLINGTONGO DUKEAREN KALEA,CALLE
4651,DÜSSELDORF,Düsseldorf,Q1718,DÜSSELDORF KALEA,DÜSSELDORF KALEA,CALLE
1360,ECUADOR,Ecuador,Q736,EKUADOR KALEA,EKUADOR KALEA,CALLE
1370,EDUARDO DATO,Eduardo Dato,Q365162,EDUARDO DATO KALEA,EDUARDO DATO KALEA,CALLE
1380,EDUARDO VELASCO,Eduardo Velasco López de Cano,Q55838214,EDUARDO BELASKO KALEA,EDUARDO BELASKO KALEA,CALLE
6030,EHARI/ALI,Ali,Q576027,EHARI,EHARI,ENTIDAD
1390,EIBAR,Éibar,Q496567,EIBAR KALEA,EIBAR KALEA,CALLE
4726,EL CALCE,El Calce,Q95615075,EL CALCE KALEA,EL CALCE KALEA,CALLE
1395,EL CASERIO,El Caserío,Q95615106,ETXALDE KALEA,ETXALDE KALEA,CALLE
1130,EL CRISTO,Jesús de Nazaret,Q302,KRISTO KALEA,KRISTO KALEA,CALLE
1990,EL PRADO,Museo del Prado,Q160112,PRADO KALEA,PRADO KALEA,CALLE
1991,"EL PRADO, PARQUE",Museo del Prado,Q160112,PRADO PARKEA,PRADO PARKEA,PARQUE
1400,EL SALVADOR,El Salvador,Q792,SALVADOR KALEA,SALVADOR KALEA,CALLE
3950,EL TORNO,Torno,Q187833,TORNU KALEA,TORNU KALEA,CALLE
4809,ELCIEGO,Elciego,Q1368834,ELTZIEGO KALEA,ELTZIEGO KALEA,CALLE
4672,ELEXALDE,Elexalde,Q95615631,ELEXALDE KALEA,ELEXALDE KALEA,CALLE
4661,ELGETA,Elgueta,Q1639427,ELGETA KALEA,ELGETA KALEA,CALLE
1403,ELGOIBAR,Elgóibar,Q1618383,ELGOIBAR KALEA,ELGOIBAR KALEA,CALLE
